arc_target,support_tier,n_contexts_perturbed,datasets_perturbed,n_datasets_measured,datasets_measured,dataset_cells
DEK,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DHRS1,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DHX35,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DLAT,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DMTF1,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DNTTIP1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DRG2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DTNBP1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DVL3,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
E2F1,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
E2F4,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
EAPP,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
EEF1A2,0,0,,3,arch1|kaden25rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
ELK1,1,1,kaden25rpe1,6,arch1|kaden25rpe1|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
EPC2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
EPHB2,0,0,,4,arch1|kaden25rpe1|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
EPM2AIP1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
EZH2,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
FAM120A,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
FCGRT,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
FHL3,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
FOXN2,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
FOXO4,1,1,kaden25rpe1,3,arch1|kaden25rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
FUBP3,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
FXYD5,0,0,,6,arch1|kaden25rpe1|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
FZD2,0,0,,4,arch1|kaden25rpe1|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
GIGYF2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
GLI3,1,1,kaden25rpe1,3,arch1|kaden25rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
GLYR1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
GMEB2,1,1,kaden25rpe1,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
GPATCH8,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
GRAMD1A,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
GTF2IRD1,1,1,kaden25rpe1,5,arch1|kaden25rpe1|nadig25hepg2|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
HDAC1,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
HDAC8,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
HEATR6,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
HMGN3,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
HMGN4,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
HMGXB3,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
HOMEZ,1,1,kaden25rpe1,5,arch1|kaden25rpe1|nadig25jurkat|replogle22k562|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
HSBP1,2,2,arch1|kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
HSP90AB1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
IFI27L2,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
IFNAR2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
IFNGR2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
IL10RB,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
IREB2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
KDM5A,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
KHDRBS1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
KHSRP,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
KIF21B,0,0,,4,arch1|kaden25rpe1|nadig25jurkat|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
KIF2A,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
KMT2A,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
LDLR,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
LENG1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
LMAN1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
LMBRD2,0,0,,5,arch1|kaden25rpe1|nadig25jurkat|replogle22k562|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
LPCAT3,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MAN2A1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
